Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
5,5,5,4,Detached Bungalow,Oyo,15000000.0
5,5,6,5,Detached Duplex,Lagos,65000000.0
4,5,5,4,Semi Detached Duplex,Oyo,45000000.0
1,5,2,1,Detached Bungalow,Ogun,6500000.0
4,4,5,4,Terraced Duplexes,Lagos,105000000.0
6,7,7,1,Detached Duplex,Lagos,700000000.0
5,6,6,1,Detached Duplex,Rivers,100000000.0
3,3,3,9,Block of Flats,Imo,65000000.0
4,4,5,4,Detached Duplex,Lagos,75000000.0
4,4,5,1,Detached Duplex,Rivers,135000000.0
5,5,6,4,Detached Duplex,Abuja,900000000.0
2,2,3,2,Terraced Duplexes,Lagos,75000000.0
5,5,6,5,Detached Duplex,Lagos,95000000.0
5,5,6,5,Detached Duplex,Lagos,125000000.0
4,4,5,4,Detached Duplex,Abuja,450000000.0
4,4,5,4,Terraced Duplexes,Lagos,80000000.0
4,6,6,9,Terraced Duplexes,Abuja,130000000.0
5,5,5,4,Detached Duplex,Lagos,60000000.0
2,2,3,3,Terraced Duplexes,Lagos,23000000.0
3,3,4,2,Terraced Duplexes,Lagos,38000000.0
8,1,1,4,Detached Duplex,Abuja,750000000.0
4,5,5,4,Terraced Duplexes,Lagos,70000000.0
5,4,5,8,Terraced Bungalow,Lagos,20000000.0
3,4,4,4,Detached Duplex,Lagos,130000000.0
5,5,5,4,Detached Duplex,Lagos,115000000.0
5,5,6,4,Detached Duplex,Rivers,65000000.0
4,4,5,1,Detached Bungalow,Lagos,25000000.0
4,5,5,4,Terraced Duplexes,Abuja,35000000.0
3,4,4,4,Terraced Duplexes,Lagos,40000000.0
4,4,5,6,Detached Bungalow,Oyo,17000000.0
4,5,6,4,Detached Duplex,Lagos,75000000.0
4,4,5,4,Detached Duplex,Lagos,70000000.0
5,5,5,4,Detached Duplex,Lagos,50000000.0
4,5,5,9,Detached Bungalow,Lagos,27000000.0
5,5,5,4,Detached Duplex,Lagos,160000000.0
5,5,5,4,Detached Duplex,Lagos,150000000.0
3,4,6,4,Terraced Bungalow,Rivers,30000000.0
5,6,6,4,Detached Duplex,Lagos,170000000.0
